CNF_Food_Group_Code,CNF_Food_Group_Description_EN,CNF_Food_Group_Description_FR
1,Dairy and Egg Products,Produits laitiers et d'oeufs
2,Spices and Herbs,Épices et fines herbes
3,Babyfoods,Aliments pour bébés
4,Fats and Oils,Matières grasses et huiles
5,Poultry Products,Produits de volaille
6,"Soups, Sauces and Gravies",Potages et sauces
7,Sausages and Luncheon meats,Saucisses et viandes froides
8,Breakfast cereals,Céréales à déjeuner
9,Fruits and fruit juices,Fruits et jus de fruits
10,Pork Products,Produits de porc
11,Vegetables and Vegetable Products,Légumes et produits végétaux
12,Nuts and Seeds,Noix et graines
13,Beef Products,Produits de boeuf
14,Beverages,Boissons
15,Finfish and Shellfish Products,"Produits de poissons, mollusques et crustacés"
16,Legumes and Legume Products,Légumineuses et produits de légumineuses
17,"Lamb, Veal and Game","Agneau, veau et gibier"
18,Baked Products,Produits de boulangerie
19,Sweets,Sucreries
20,"Cereals, Grains and Pasta","Céréales, grains et pâtes"
21,Fast Foods,Aliments prêts-à-manger
22,Mixed Dishes,Mets composés
25,Snacks,Grignotises
