Food_Code,Food_Description_EN,Food_Description_FR,Alternate_Description_EN,Alternate_Description_FR,Food_Source_Code,USDA_NDB_Code,CNF_Food_Group_Code,Comment_EN,Comment_FR,ScientificName,Food_Last_Updated_Date
2,Cheese souffle,Soufflé au fromage,,,20,,22,,,,2012-06-28
4,"Chop suey, with meat, canned","Chop suey, avec viande, conserve",,chopsuey,20,,22,,,,2026-01-28
5,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",,,0,36623,22,"Rice not included in the analyses.  May include onions, cabbage, carrots and/or broccoli.","Riz non inclus dans l'analyse. Peut inclure: oignons, chou, carottes et/ou brocoli.",,2026-01-28
6,Corn fritter,"Maïs, beignet",,beignet de mais,20,,18,,,,2026-01-28
7,"Frozen entree, beef pot roast with potatoes and vegetables, heated","Met surgelé, bœuf braisé, pomme de terre et légumes, réchauffé","Beef pot roast, beef stew, Rôti de bœuf, bœuf braisé","patate, patates, pommes de terre",37,,22,,,,2026-01-28
8,"Frozen entree, fried chicken with mashed potatoes and vegetables, heated","Met surgelé, poulet frit avec pommes de terre en purée et légumes, réchauffé","potato, chicken nugget,nuggets","patate, patates, pilée, pilées, croquette, croquettes, croquettes de poulet",37,,22,,,,2026-01-28
9,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois","potato, potatoes, mash, mashed","patate, patates, pomme de terre, pilée, pilées",11,,22,,,,2026-01-28
10,"Frozen entree, turkey with potato, vegetables and gravy, heated","Met surgelé, dinde avec pommes de terre, légumes et sauce, réchauffé","potato, potatoes, mash, mashed","patate, patates, pomme de terre, pilée, pilées",37,28145210,22,,,,2026-01-28
13,"Vinegar, cider","Vinaigre, cidre",,vinaigre de cidre,20,02048,2,,,,2026-01-28
14,"Vinegar, distilled (white)","Vinaigre, distillé (blanc)",,,0,02053,2,,,,2012-06-29
16,"Butter, whipped","Beurre, fouetté",,,0,01002,1,,,,2026-01-28
17,"Butter oil, anhydrous","Huile de beurre, anhydre",,,0,01003,1,,,,2012-06-26
18,"Cheese, blue",Fromage bleu,,,3,01004,1,,,,2012-07-24
19,"Cheese, brick",Fromage brick,,,37,01005,1,,,,2026-01-28
20,"Cheese, brie",Fromage brie,,,37,01006,1,,,,2026-01-28
21,"Cheese, camembert",Fromage camembert,,,0,01007,1,,,,2012-07-24
22,"Cheese, caraway",Fromage carvi,,,0,01008,1,,,,2012-07-24
23,"Cheese, cheshire",Fromage cheshire,,,0,01010,1,,,,2012-07-24
24,"Cheese, colby",Fromage colby,,,0,01011,1,,,,2012-07-24
