Food_Code,Measure_Type_Code,Measure_Code,Measure_Weight_Conversion,Measure_Weight_Conversion_Last_Updated_Date
2,6,341,40.152,1997-05-01
2,6,383,50.19,2003-08-12
2,6,415,100.38,2003-08-12
2,3,750,0,1997-05-01
4,3,750,0,1997-05-01
4,6,341,92.984,2004-06-10
4,6,383,116.23,2004-06-10
4,6,415,232.46,2004-06-10
5,6,502462,604,2012-10-24
5,6,341,92.989,2014-09-12
5,6,415,232.472,2014-09-12
5,6,383,116.236,2014-09-12
5,3,750,0,1997-05-01
6,3,750,0,1997-05-01
6,6,108,35,1997-05-01
6,6,341,45.224,1997-05-01
6,6,383,56.53,2003-09-10
6,6,415,113.06,2003-09-10
6,6,1461,55,2004-03-15
7,6,1457,140,2004-08-27
7,6,174,263.78,2026-01-28
7,3,750,0,1997-05-01
8,3,750,0,1997-05-01
8,6,1457,140,2004-08-27
8,6,174,372.1490522,2026-01-28
9,6,1607,195,2005-02-10
9,3,750,0,1997-05-01
10,3,750,0,1997-05-01
10,6,1457,140,2004-08-27
10,6,174,393.7019644,2026-01-28
13,6,341,101.437,2002-09-25
13,6,385,15.101,2002-09-25
13,6,439,5.068,2003-03-14
13,6,383,126.789,2003-03-14
13,3,750,0,1997-05-01
14,3,750,0,1997-05-01
14,6,341,101.437,2003-03-14
14,6,383,126.796,2003-03-14
14,6,385,15.101,2003-03-14
14,6,439,5.068,2003-03-14
16,6,385,9.574,2014-01-17
16,6,439,3.19,2014-01-17
16,6,966,3.8,1997-05-01
16,6,1573,10,2004-07-06
16,6,341,63.824,2014-01-17
16,3,750,0,1997-05-01
17,3,750,0,1997-05-01
17,6,385,12.973,2002-09-19
17,6,439,4.324,2003-03-06
17,6,1573,10,2004-07-06
17,6,341,86.649,2014-01-17
18,6,344,57.058,1997-05-01
18,6,975,142.646,2003-03-06
18,6,990,50,2003-03-13
18,6,1454,30,2004-02-11
18,3,750,0,1997-05-01
19,3,750,0,1997-05-01
19,6,368,47.76,1997-05-01
19,6,348,55.79,1997-05-01
19,6,976,139.476,2003-03-06
19,6,977,119.399,2003-03-06
19,6,990,50,2003-03-13
19,6,1454,30,2004-02-11
20,6,371,60.862,1997-05-01
20,6,358,101.442,2014-01-28
20,6,978,253.605,2014-01-28
20,6,979,152.156,2003-03-06
20,6,990,50,2003-03-13
20,6,1454,30,2004-02-12
20,3,750,0,1997-05-01
21,3,750,0,1997-05-01
21,6,341,103.97,2002-09-19
21,6,415,259.932,2003-03-06
21,6,990,50,2003-03-13
21,6,1454,30,2005-02-10
22,6,368,47.76,2004-01-14
22,6,348,55.79,2004-01-14
22,6,1454,30,2004-02-13
22,6,990,50,2003-03-13
22,3,750,0,1997-05-01
23,3,750,0,1997-05-01
23,6,368,47.76,2004-01-14
23,6,348,55.79,2004-01-14
23,6,1454,30,2004-02-13
23,6,990,50,2003-03-13
24,6,368,47.76,1997-05-01
24,6,348,55.79,1997-05-01
24,6,976,139.476,2003-03-06
24,6,977,119.399,2003-03-06
24,6,990,50,2003-03-13
24,6,1454,30,2004-02-13
24,3,750,0,1997-05-01
25,3,750,0,1997-05-01
25,6,619,95.097,2003-03-06
25,6,355,88.757,2003-03-06
25,6,981,221.893,2003-03-06
25,6,982,237.743,2003-03-06
25,6,973,118.872,2003-03-06
25,6,972,110.947,2003-03-06
25,6,1489,125,2004-07-06
26,6,376,95.52,1997-05-01
26,6,974,119.399,2003-03-06
26,6,983,238.799,2003-03-06
26,6,1489,125,2004-07-21
26,3,750,0,1997-05-01
27,3,750,0,1997-05-01
27,6,376,61.285,1997-05-01
27,6,974,76.606,2003-03-06
27,6,983,153.212,2003-03-06
27,6,1489,125,2004-07-06
28,6,341,98,2019-07-22
28,6,385,14.7,2019-07-22
28,6,415,245,2019-07-22
28,6,990,50,2003-03-13
28,6,428,29.4,2019-07-22
