Nutrient_Order_EZ,Nutrient_Category_EZ,Nutrient_Code,Nutrient_Name_EN,Nutrient_Name_EN_EZ
1,Proximates,255,Moisture,Moisture
2,Proximates,207,"Ash, total",Ash
3,Proximates,203,Protein,Protein
4,Proximates,204,Fat (total lipids),Total Fat
5,Proximates,205,"Carbohydrate, total (by difference)",Carbohydrate
6,Proximates,221,Alcohol,Alcohol
7,Proximates,208,Energy (kilocalories),Energy (kcal)
8,Proximates,268,Energy (kilojoules),Energy (kJ)
9,Other Carbohydrates,291,"Fibre, total dietary","Fibre, total dietary"
10,Other Carbohydrates,269,"Sugars, total","Sugars, total"
11,Other Carbohydrates,211,Glucose,Glucose
12,Other Carbohydrates,212,Fructose,Fructose
13,Other Carbohydrates,214,Maltose,Maltose
14,Other Carbohydrates,287,Galactose,Galactose
15,Other Carbohydrates,213,Lactose,Lactose
16,Other Carbohydrates,210,Sucrose,Sucrose
17,Other Carbohydrates,260,Mannitol,Mannitol
18,Other Carbohydrates,261,Sorbitol,Sorbitol
19,Other Carbohydrates,1001,Fructans (inulin),Fructans (inulin)
20,Minerals,301,Calcium,"Calcium, Ca"
21,Minerals,303,Iron,"Iron, Fe"
22,Minerals,304,Magnesium,"Magnesium, Mg"
23,Minerals,305,Phosphorus,"Phosphorus, P"
24,Minerals,306,Potassium,"Potassium, K"
25,Minerals,307,Sodium,"Sodium, Na"
26,Minerals,309,Zinc,"Zinc, Zn"
27,Minerals,312,Copper,"Copper, Cu"
28,Minerals,315,Manganese,"Manganese, Mn"
29,Minerals,317,Selenium,"Selenium, Se"
30,Vitamins,321,Beta carotene,Beta carotene
31,Vitamins,322,Alpha carotene,Alpha carotene
32,Vitamins,319,Retinol,Retinol
33,Vitamins,320,Retinol activity equivalents,"Retinol activity equivalents, RAE"
34,Vitamins,334,Beta cryptoxanthin,Beta cryptoxanthin
35,Vitamins,417,Total folacin,"Folacin, total"
36,Vitamins,431,Folic acid,"Folic acid, synthetic form"
37,Vitamins,432,Naturally occurring folate,"Folate, naturally occurring"
38,Vitamins,435,Dietary folate equivalents,"Dietary folate equivalents, DFE"
39,Vitamins,406,Niacin (nicotinic acid) preformed,Niacin (nicotinic acid) preformed
40,Vitamins,409,Total niacin equivalent,"Niacin equivalents, total"
41,Vitamins,410,Pantothenic acid,Pantothenic acid
42,Vitamins,405,Riboflavin,Riboflavin
43,Vitamins,404,Thiamine,Thiamine
44,Vitamins,415,Vitamin B-6,Vitamin B-6
45,Vitamins,418,Vitamin B-12,Vitamin B-12
46,Vitamins,578,"Vitamin B-12, added","Vitamin B-12, added"
47,Vitamins,421,"Choline, total","Choline, total"
48,Vitamins,454,Betaine,Betaine
49,Vitamins,401,Vitamin C,Vitamin C
50,Vitamins,328,Vitamin D (D2 + D3),Vitamin D
51,Vitamins,325,"Vitamin D2, ergocalciferol",Vitamin D2
52,Vitamins,326,"Vitamin D3, cholecalciferol",Vitamin D3
53,Vitamins,324,Vitamin D (International Units),Vitamin D (IU)
54,Vitamins,329,25-hydroxycholecalciferol,25-hydroxycholecalciferol
55,Vitamins,330,25-hydroxyergocalciferol,25-hydroxyergocalciferol
56,Vitamins,428,Vitamin K (menaquinone-4),Vitamin K (menaquinone-4)
57,Vitamins,429,Vitamin K (dihydrophylloquinone),Vitamin K (dihydrophylloquinone)
58,Vitamins,430,Vitamin K (phylloquinone),Vitamin K (phylloquinone)
59,Vitamins,323,Alpha-tocopherol,Alpha-tocopherol
60,Vitamins,573,"Alpha-tocopherol, added","Alpha-tocopherol, added"
61,Vitamins,341,Beta-tocopherol,Beta-tocopherol
62,Vitamins,343,Delta-tocopherol,Delta-tocopherol
63,Vitamins,342,Gamma-tocopherol,Gamma-tocopherol
64,Amino Acids,501,Tryptophan,Tryptophan
65,Amino Acids,502,Threonine,Threonine
66,Amino Acids,503,Isoleucine,Isoleucine
67,Amino Acids,504,Leucine,Leucine
68,Amino Acids,505,Lysine,Lysine
69,Amino Acids,506,Methionine,Methionine
70,Amino Acids,507,Cystine,Cystine
71,Amino Acids,508,Phenylalanine,Phenylalanine
72,Amino Acids,509,Tyrosine,Tyrosine
73,Amino Acids,510,Valine,Valine
74,Amino Acids,511,Arginine,Arginine
75,Amino Acids,512,Histidine,Histidine
76,Amino Acids,513,Alanine,Alanine
77,Amino Acids,514,Aspartic acid,Aspartic acid
78,Amino Acids,515,Glutamic acid,Glutamic acid
79,Amino Acids,516,Glycine,Glycine
80,Amino Acids,517,Proline,Proline
81,Amino Acids,518,Serine,Serine
82,Amino Acids,521,Hydroxyproline,Hydroxyproline
83,Lipids,606,"Fatty acids, saturated, total","Fatty acids, saturated, total"
84,Lipids,607,"Fatty acids, saturated, 4:0, butanoic",4:0 (butanoic)
85,Lipids,608,"Fatty acids, saturated, 6:0, hexanoic",6:0 (hexanoic)
86,Lipids,609,"Fatty acids, saturated, 8:0, octanoic",8:0 (octanoic)
87,Lipids,610,"Fatty acids, saturated, 10:0, decanoic",10:0 (decanoic)
88,Lipids,611,"Fatty acids, saturated, 12:0, dodecanoic",12:0 (dodecanoic)
89,Lipids,696,"Fatty acids, saturated, 13:0 tridecanoic",13:0 (tridecanoic)
90,Lipids,612,"Fatty acids, saturated, 14:0, tetradecanoic",14:0 (tetradecanoic)
